Tx,Px,Hx,D,Ty,Py,Hy
30.0,1200.0,65,2.4000000000000004,20.455002638963585,1014.1235670077106,37.20661237562239
30.0,1200.0,65,2.5,20.372208503797726,1013.8506308236663,36.56713154982096
30.0,1200.0,65,2.6,20.302602800204717,1013.6576836047024,35.97054265050045
30.0,1200.0,65,2.7,20.244489453100893,1013.5231623225627,35.41551232198825
30.0,1200.0,65,2.8000000000000003,20.196306572572908,1013.4306672630838,34.900577611900914
30.0,1200.0,65,2.9000000000000004,20.156633536428977,1013.3679450846334,34.424166892079185
30.0,1200.0,65,3.0,20.124193306515522,1013.3259982892579,33.98462043023303
30.0,1200.0,65,3.1,20.097850732044698,1013.2983319630463,33.58021036362157
30.0,1200.0,65,3.2,20.076607611351793,1013.2803358278386,33.20915985423002
30.0,1200.0,65,3.3000000000000003,20.05959526470109,1013.2687911439558,32.8696612350134
30.0,1200.0,65,3.4000000000000004,20.04606532263392,1013.2614871587734,32.55989298806181
30.0,1200.0,65,3.5,20.03537936478222,1013.2569298048527,32.27803542724684
30.0,1200.0,65,3.6,20.026997960632603,1013.2541254003145,32.022284989325904
30.0,1200.0,65,3.7,20.02046957328585,1013.2524234628755,31.79086706797013
30.0,1200.0,65,3.8000000000000003,20.0154196956894,1013.2514048209564,31.582047354178272
30.0,1200.0,65,3.9000000000000004,20.011540500847815,1013.2508035440649,31.39414167356595
30.0,1200.0,65,4.0,20.008581206663937,1013.2504535163006,31.22552433568819
30.0,1200.0,65,4.1000000000000005,20.006339284698395,1013.2502525582165,31.074635032568306
30.0,1200.0,65,4.2,20.00465258158071,1013.2501387736211,30.939984342763356
30.0,1200.0,65,4.3,20.00339237249301,1013.2500752351947,30.820157913478777
30.0,1200.0,65,4.4,20.002457327799302,1013.250040243544,30.713819406418157
30.0,1200.0,65,4.5,20.001768345704015,1013.2500212385652,30.619712303257835
30.0,1200.0,65,4.6000000000000005,20.001264184637368,1013.2500110586226,30.536660673976098
30.0,1200.0,65,4.7,20.000897817529864,1013.2500056809018,30.46356901590441
30.0,1200.0,65,4.800000000000001,20.000633424836664,1013.2500028791729,30.399421273510058
30.0,1200.0,65,4.9,20.000443942721805,1013.2500014396156,30.343279148808328
30.0,1200.0,65,5.0,20.000309085937648,1013.2500007101468,30.294279810203726
30.0,1200.0,65,0.1,29.335864962947554,1182.480163742233,63.528853813194665
30.0,1200.0,65,0.14142135623730953,29.061856157549283,1175.2803385198274,62.92044755404119
30.0,1200.0,65,0.223606797749979,28.521789268968156,1161.1835254178839,61.716496551422495
30.0,1200.0,65,0.316227766016838,27.921473917958973,1145.7282304789069,60.367131717236745
30.0,1200.0,65,0.4123105625617661,27.311530400117544,1130.3476832011033,58.97892548270387
30.0,1200.0,65,0.5099019513592785,26.708962389950937,1115.5684200597793,57.58449003621543
30.0,1200.0,65,0.608276253029822,26.12227176688141,1101.6686950567964,56.19824613382028
30.0,1200.0,65,0.7071067811865476,25.55689790282795,1088.8196502899207,54.82858402549792
